index,pm10,so2,co,o3,no2,categori
100,66,47,18,35,24,TIDAK SEHAT
101,57,43,18,27,17,SEDANG
102,52,44,13,31,20,SEDANG
103,52,42,13,31,14,SEDANG
104,55,42,27,25,27,SEDANG
105,61,42,17,21,20,SEDANG
106,63,43,20,27,19,TIDAK SEHAT
109,56,45,10,34,17,SEDANG
110,64,43,16,27,17,TIDAK SEHAT
111,60,45,10,34,17,SEDANG
112,67,19,13,31,24,TIDAK SEHAT
113,65,33,13,31,20,SEDANG
114,73,37,17,20,17,TIDAK SEHAT
115,64,37,11,22,14,TIDAK SEHAT
116,75,38,11,27,13,TIDAK SEHAT
117,55,37,9,28,17,SEDANG
118,51,37,12,23,19,SEDANG
120,15,24,3,16,4,BAIK
121,35,38,7,19,16,SEDANG
122,21,20,6,22,12,BAIK
123,62,20,30,19,37,TIDAK SEHAT
124,47,24,12,22,28,SEDANG
125,30,31,4,18,6,SEDANG
126,25,30,4,17,6,BAIK
127,32,51,5,14,12,SEDANG
128,52,34,7,18,21,SEDANG
129,45,31,9,24,18,SEDANG
130,46,50,9,31,18,SEDANG
131,58,30,19,21,31,SEDANG
132,50,30,15,30,27,SEDANG
133,48,31,12,27,23,SEDANG
134,54,23,24,30,42,SEDANG
135,55,29,18,23,44,SEDANG
138,62,32,13,32,19,TIDAK SEHAT
139,51,32,9,28,20,SEDANG
140,62,25,15,25,25,TIDAK SEHAT
141,56,26,9,39,17,SEDANG
142,66,26,12,33,22,TIDAK SEHAT
143,60,29,12,37,24,SEDANG
144,58,23,12,27,19,SEDANG
145,52,28,10,26,19,SEDANG
146,56,33,9,28,18,SEDANG
147,49,21,10,26,22,SEDANG
148,43,22,14,26,25,SEDANG
149,52,23,12,28,23,SEDANG
0,52,23,10,20,33,SEDANG
1,50,22,9,18,17,SEDANG
2,53,26,10,20,20,SEDANG
3,59,31,14,14,26,SEDANG
4,58,22,18,14,38,SEDANG
5,49,19,16,18,38,SEDANG
6,54,20,26,19,45,SEDANG
7,52,20,12,19,28,SEDANG
8,41,18,9,26,21,SEDANG
9,47,19,10,25,21,SEDANG
10,60,24,12,25,24,SEDANG
11,59,21,10,25,21,SEDANG
12,70,24,14,24,20,TIDAK SEHAT
13,52,24,8,25,14,SEDANG
14,51,26,11,20,19,SEDANG
